trial_id,scraped_at,extractor_version,has_participant_flow,dropout_rate_pct,started_n,completed_n,recency_decay,missing_enrollment,parse_warning
NCT00482729,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,34.8,1250,815,0.233424,False,
NCT00877929,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,7.8,706,651,1.0,False,
NCT02607865,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,5.7,1864,1758,0.50573,False,
NCT02229227,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,13.9,814,701,0.47693,False,
NCT00849017,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,22.6,301,233,0.323595,False,
NCT01370005,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,4.6,825,787,0.307494,False,
NCT05462756,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,4.0,730,701,0.844898,False,
NCT00097786,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,13.0,9306,8095,0.242288,False,
NCT00379769,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,49.8,4447,2233,0.22542,False,
NCT00570739,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,13.9,502,432,0.233646,False,
NCT00103857,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,57.2,1208,517,0.210724,False,
NCT02096705,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,4.4,272,260,0.419252,False,
NCT02227875,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,12.5,560,490,0.41352,False,
NCT05691712,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,6.6,257,240,0.870344,False,
NCT02963922,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,15.7,396,334,0.527932,False,
NCT00510952,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,8.9,471,429,0.222179,False,
NCT01394952,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,0.3,9901,9867,0.523564,False,
NCT01068678,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,13.5,460,398,0.266168,False,
NCT01730534,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,1.5,17160,16906,0.526181,False,
NCT04109547,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,4.0,521,500,0.690028,False,
NCT01584232,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,3.0,361,350,0.335325,False,
NCT01644500,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,8.3,737,676,0.368375,False,
NCT02324569,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,15.4,240,203,0.453954,False,
NCT05352815,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,5.3,1291,1222,0.856205,False,
NCT00532935,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,19.9,517,414,0.243557,False,
NCT01046110,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,24.0,458,348,0.266168,False,
NCT01301833,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,8.0,462,425,0.312053,False,
NCT01144338,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,3.8,14752,14187,0.466738,False,
NCT01769378,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,9.7,300,271,0.379199,False,
NCT01435616,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,16.3,1538,1287,0.350295,False,
NCT02489968,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,51.9,879,423,0.472647,False,
